Name,Mobile,address,Shift,type,Joined,City,state,rating,reviews,open_now,lat,lng,status,website
"TANGEWALA PARTY HALL by FILLYRUN","099999 44903","above Tangewala, D6, Mahavir Enclave I, Mahavir Enclave Part 2, Mahavir Enclave, New Delhi, Delhi, 110045, India","DAY","Third Party","","Delhi","Delhi","4.5","320","true","28.5975536","77.08142670000001","OPERATIONAL","http://www.facebook.com/fillyrunindia"
"The Victorian Palace, Banquet Hall, North Delhi","098111 35800","Q4FV+MHV, Nangli Ibrahimpur Rd, Nangli Puna, Delhi, 110036, India","DAY","Third Party","","Delhi","Delhi","4.1","1602","true","28.7742433","77.1439311","OPERATIONAL","https://thevictorianpalace.com/"
"Shabnam Banquet Hall","","Kalkaji Extension, Block A 8, Tughlakabad Extension, Govindpuri, New Delhi, Delhi 110019, India","DAY","Third Party","","Delhi","Delhi","4","95","true","28.5260014","77.25970530000001","OPERATIONAL",""
"S.K Rajwada Banquet Hall","093100 16911","Star City Mall, Club Ave Rd, Mayur Place, Mayur Vihar, New Delhi, Delhi, 110091, India","DAY","Third Party","","Delhi","Delhi","4.3","627","true","28.5923292","77.2959959","OPERATIONAL","http://www.skeastendbanquets.in/"
"Grand Valley Banquet Hall, Sagarpur, Dwarka","","J33R+67Q, Durga Puri, West Sagarpur, Sagar Pur, New Delhi, Delhi, 110045, India","DAY","Third Party","","Delhi","Delhi","4.1","324","","28.6030793","77.09072599999999","OPERATIONAL",""
"Vrindavan Vatika Hall","099580 83874","Guru Ravidas Marg, Block K, Kalkaji, New Delhi, Delhi 110019, India","DAY","Third Party","","Delhi","Delhi","3.8","133","true","28.5396016","77.26185579999999","OPERATIONAL",""
"Grand Galaxy Premium Restaurant & Party Hall - Best Party hall in West Delhi","084475 79850","A-1 Kirti Nagar, Tagore market, opposite metro pillar no.329, Block A, Indira Colony, Kirti Nagar, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4.4","269","true","28.6549586","77.13811849999999","OPERATIONAL",""
"Annapurna Banquet Hall","099900 34938","43, 1st Floor, Ambedkar park, near Bank of India, G.Z.B, Navyug Market, Naya Ganj, Ghaziabad, Uttar Pradesh 201001, India","DAY","Third Party","","Delhi","Delhi","3.8","439","true","28.66923049999999","77.4284729","OPERATIONAL",""
"Raja Ram Mohun Roy Memorial Hall","088513 67889","gandharv mahavidyalay, 12, Vishnu Digamber Marg, opposite side, Mata Sundari Railway Colony, Mandi House, New Delhi, Delhi, 110002, India","DAY","Third Party","","Delhi","Delhi","4","1140","true","28.6294925","77.238761","OPERATIONAL",""
"Mannat Restaurant & Party Hall","072908 07079","G-10, Block L, Dilshad Garden, New Delhi, Delhi, 110095, India","DAY","Third Party","","Delhi","Delhi","4.1","308","true","28.6829307","77.32323509999999","OPERATIONAL",""
"Royal Garden Marriage Hall","096543 52244","F78P+388, Chhota Anangpur, Faridabad, Haryana 121003, India","DAY","Third Party","","Delhi","Delhi","3.9","779","true","28.4651674","77.2858189","OPERATIONAL",""
"Amitabh Banquet Hall","088008 87584","Police Station, E23, Bungalow Rd, near Roop Nagar, Kamla Nagar, New Delhi, Delhi, 110007, India","DAY","Third Party","","Delhi","Delhi","3.9","637","","28.6837865","77.2039806","OPERATIONAL",""
"Swadeshi Party hall","098108 44400","F7XR+W36, B-1, 60 Feet Rd, Pulpharadpur, Block A, Pul Pehladpur, New Delhi, Delhi 110044, India","DAY","Third Party","","Delhi","Delhi","3.3","31","true","28.4996084","77.2902098","OPERATIONAL",""
"Kusum Banquet Hall","099999 32140","H-521, Block I, Swaran Jayanti Puram, Govindpuram, Ghaziabad, Uttar Pradesh 201013, India","DAY","Third Party","","Delhi","Delhi","4","98","true","28.6873005","77.4861975","OPERATIONAL",""
"Bageecha Banquet Hall, Siraspur, Delhi","","Q48V+8WG, GT Karnal Rd, Siraspur, Delhi, 110036, India","DAY","Third Party","","Delhi","Delhi","4.1","1228","true","28.7658103","77.14482029999999","OPERATIONAL",""
"Radha Rani Party Hall","081783 95048","Nau Devi Durga Mata Mandir Premises, Sector 2, Patwari, Greater Noida, Uttar Pradesh 201318, India","DAY","Third Party","","Delhi","Delhi","4.4","54","true","28.5809964","77.44612169999999","OPERATIONAL",""
"ITPO Exhibition Hall","011 2337 1540","Pragati Maidan, New Delhi, Delhi 110001, India","DAY","Third Party","","Delhi","Delhi","4.5","1683","true","28.6139903","77.2441089","OPERATIONAL","https://www.indiatradefair.com/"
"Singhasan Banquet hall and Lawn in Rohtak","098122 42733","Tilyar Rd, Baba Mastnath Nagar, Rohtak, Haryana 124021, India","DAY","Third Party","","Delhi","Delhi","4.6","918","true","28.8871186","76.6460769","OPERATIONAL","https://sites.google.com/view/singhasan-banquet-hall-and-law"
"Maa Mahal Party Hall","081783 95048","Nau Devi Durga Mata Mandir Premises, Sector 2, Patwari, Greater Noida, Uttar Pradesh 201318, India","DAY","Third Party","","Delhi","Delhi","4.2","108","true","28.5811076","77.44623419999999","OPERATIONAL",""
"Sapphire hall karkarduma","098111 75403","Karkardooma Metro Station, Arya Nagar, Anand Vihar, Delhi, 110092, India","DAY","Third Party","","Delhi","Delhi","4.2","15","","28.6488661","77.3057395","OPERATIONAL",""
"Seven Heaven, Banquet Hall","","block a2, B, Britannia Chowk, 55, Lawrence Rd, Lawrence Road Industrial Area, Rampura Industrial Area, Tri Nagar, New Delhi, Delhi, 110035, India","DAY","Third Party","","Delhi","Delhi","3.9","502","true","28.6809401","77.1499415","OPERATIONAL","https://weddingz.in/delhi/seven-heaven-britannia-chowk-1/?utm_source=Google_gmb&utm_medium=Organic&utm_campaign=44367"
"Sandesh Vihar K Block Community Hall","","K-BLOCK, Block K, Sandesh Vihar, Pitampura, Delhi, 110034, India","DAY","Third Party","","Delhi","Delhi","3.9","303","true","28.6916194","77.1436765","OPERATIONAL",""
"Sher E DiL | Restaurant & Party Hall","090255 97049","Metro Pillar No.614, B-7, near Shankar Hospital, Block-B, Shankar Garden, Vikaspuri, New Delhi, Delhi, 110018, India","DAY","Third Party","","Delhi","Delhi","4.2","668","true","28.628177","77.0729836","OPERATIONAL","http://www.sheredil.com/"
"EDMC Community Hall","","Ram Kumar Gautam Marg, near Neelam Mata Mandir, opposite Gurudwara, Pocket-C, Mayur Vihar, Delhi, 110091, India","DAY","Third Party","","Delhi","Delhi","3.8","617","","28.6201519","77.3025785","OPERATIONAL",""
"City Banquet Hall","","C-24, Sector 15, Vasundhara, Ghaziabad, Uttar Pradesh 201012, India","DAY","Third Party","","Delhi","Delhi","3.7","127","true","28.6553218","77.35996899999999","OPERATIONAL",""
"Purana Baraat Ghar, Old Community Hall","","M5CR+W9W, Gulabi Bagh, Delhi, 110007, India","DAY","Third Party","","Delhi","Delhi","3.9","616","","28.6723603","77.19094439999999","OPERATIONAL",""
"Utsav Party Hall","092153 40131","opp Reliance Trend, Atlas Rd, near विशाल मेगा मार्ट, Model Town, Sonipat, Haryana 131001, India","DAY","Third Party","","Delhi","Delhi","4","195","true","28.9873018","77.0207635","OPERATIONAL",""
"Vandanam Banquet Hall","","Sector-29, Garhi Bohar, Rohtak, Haryana 124021, India","DAY","Third Party","","Delhi","Delhi","4.2","312","true","28.8760039","76.6492798","OPERATIONAL",""
"Tanga Stand Community Hall","","Tanga Stand Rd, Block E 4, Nand Nagri, Mandoli, New Delhi, Delhi, 110093, India","DAY","Third Party","","Delhi","Delhi","4","266","","28.6937167","77.3042605","OPERATIONAL",""
"Shahi Mahal | Banquet Hall | Restaurant in Noida | Party Hall Noida 122","088265 55928","PKA17, Sector 122, Noida, Uttar Pradesh 201316, India","DAY","Third Party","","Delhi","Delhi","4.5","465","false","28.5905135","77.40258879999999","OPERATIONAL",""
"Pritam Banquet Hall","070110 87775","78/4, 78/4, Gharoli Rd, Subhash Park, Rajeev Nagar, Khora Colony, Sector 62A, Ghaziabad, Noida, Uttar Pradesh 201020, India","DAY","Third Party","","Delhi","Delhi","4","148","","28.6259032","77.3403149","OPERATIONAL",""
"Sundaram Hall","098105 12476","P664+JRJ, Bhai Parmanand Colony, Mukherjee Nagar, Delhi, 110033, India","DAY","Third Party","","Delhi","Delhi","3.5","97","","28.7115961","77.20702539999999","OPERATIONAL",""
"Orchid Hall, New Delhi","","G4H4+X9G, Avenue Bouganvillea, Rangpuri, New Delhi, Delhi 110038, India","DAY","Third Party","","Delhi","Delhi","4","8","true","28.529948","77.1059544","OPERATIONAL",""
"RWA Community hall, Sector 30, NOIDA","","Community hall, A 107, A Block, Sector 30, Noida, Uttar Pradesh 201303, India","DAY","Third Party","","Delhi","Delhi","4.3","61","","28.573847","77.3404402","OPERATIONAL",""
"Silver Hall","","Diamond Crown, Sector 51, Noida, Uttar Pradesh 201303, India","DAY","Third Party","","Delhi","Delhi","4.4","182","","28.5794695","77.3711209","OPERATIONAL",""
"Celebration hall","","L-4, near masjid khalilullah, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India","DAY","Third Party","","Delhi","Delhi","4","348","true","28.5666203","77.28945","OPERATIONAL",""
"Mallu Farms - Wedding Farmhouse | Wedding Hall | Banquet Hall | Wedding Planner | Wedding Venues","097174 17353","204, Chattarpur Mandir Rd, Ansal Villas, Satbari, New Delhi, Delhi 110074, India","DAY","Third Party","","Delhi","Delhi","4.5","3260","true","28.4752536","77.1870678","OPERATIONAL","https://mallufarms.com/"
"Seminar Hall","","G5WV+23C, IIT Campus, Indian Institute of Technology Delhi, Hauz Khas, New Delhi, Delhi 110016, India","DAY","Third Party","","Delhi","Delhi","4.6","601","","28.5450672","77.19263370000002","OPERATIONAL",""
"Hall - 14","","J69V+FG9, Appu Ghar, Pragati Maidan, New Delhi, Delhi 110001, India","DAY","Third Party","","Delhi","Delhi","4.6","101","true","28.6186665","77.2438518","OPERATIONAL",""
"Community Hall No. 5","","H34C+65Q, Jain Colony, Shahabad Muhammadpur Village, Dwarka, Delhi, 110061, India","DAY","Third Party","","Delhi","Delhi","4.2","28","true","28.5555875","77.0704844","OPERATIONAL",""
"Hall - 12A","011 2372 4054","Pragati Maidan, New Delhi, Delhi 110001, India","DAY","Third Party","","Delhi","Delhi","4.4","284","true","28.6199159","77.2441673","OPERATIONAL","http://indiatradefair.com/"
"Shankar Lal Concert Hall","","M6V9+32G Shir Shankar Lal, Concert Hall, Vishvavidalya Marg, University Enclave, University of Delhi, New Delhi, Delhi, 110007, India","DAY","Third Party","","Delhi","Delhi","4.2","158","","28.6927376","77.2175323","OPERATIONAL",""
"Banquet Halls in Naraina","1800 889 0082","Phase 1, Community Center, 60, Munshi Ram Gupta Marg, near PVR, Industrial Area Phase I, Block B, Naraina Industrial Area Phase 1, Naraina, Delhi, New Delhi, Delhi 110028, India","DAY","Third Party","","Delhi","Delhi","4.2","5","true","28.6324863","77.137509","OPERATIONAL","https://weddingbanquets.in/banquet-halls/delhi/naraina"
"Hall - 4","","Hall - 4, Pragati Maidan, New Delhi, Delhi 110001, India","DAY","Third Party","","Delhi","Delhi","4.6","19","","28.6145337","77.2436108","OPERATIONAL",""
"Hall - 2","","J68R+3X8, Pragati Maidan, New Delhi, Delhi 110001, India","DAY","Third Party","","Delhi","Delhi","4.8","28","","28.6151714","77.2424516","OPERATIONAL",""
"DCC hall Christian caterer","","J6H4+4VH, Gol Dak Khana Roundabout, Ashok Place, Sector 4, Gole Market, New Delhi, Delhi 110001, India","DAY","Third Party","","Delhi","Delhi","4.8","9","","28.6278118","77.2072211","OPERATIONAL","https://sacredheartcathedraldelhi.org/"
"Powergrid MP Hall","","Pwo Apartments Internal Road, Sector 43, Block D, Gurugram, Haryana 122009, India","DAY","Third Party","","Delhi","Delhi","4.5","551","","28.4554947","77.0770191","OPERATIONAL",""
"The Orion Greater Kailash, Banquet Hall","011 4014 7759","The Orion Plaza CC26, Block G, Nehru Enclave, Kalkaji, New Delhi, Delhi 110019, India","DAY","Third Party","","Delhi","Delhi","4.3","9","true","28.547028","77.25376899999999","OPERATIONAL","https://weddingz.in/delhi/the-orion-plaza-kalkaji/"
"Wedding Opera","088009 95485","B-9, ring road, near britannia chock, Lawrance road, Ch Brahm Prakash Flyover, Dr Lohia Industrial Area, Rampura Industrial Area, Tri Nagar, Delhi, 110034, India","DAY","Third Party","","Delhi","Delhi","4.5","4377","true","28.6819581","77.1456314","OPERATIONAL",""
"The Wedding Book - Best Wedding Photographer in Delhi","099999 66676","2, JP7, Gopal Mandir Road, Pitampura, Delhi - 110034 JP7, FP Block, Block JP, Poorvi Pitampura, Pitampura, Delhi, 110034, India","DAY","Third Party","","Delhi","Delhi","4.9","150","true","28.7035442","77.1463146","OPERATIONAL","https://theweddingbook.in/"
"Get Your Venue: Book Your Wedding Venues in Delhi","088000 93444","F-20, Dwarka Link Rd, Samalka, Delhi, 110061, India","DAY","Third Party","","Delhi","Delhi","4.8","442","true","28.5422581","77.0716607","OPERATIONAL","https://www.getyourvenue.com/?utm_source=GMB&utm_medium=Organic&utm_campaign=local_listing"
"MB Events - wedding planner in delhi","099118 11811","J 66 1st floor, Main Market, Block J, Rajouri Garden, New Delhi, Delhi, 110027, India","DAY","Third Party","","Delhi","Delhi","4.9","62","true","28.6475186","77.122204","OPERATIONAL","http://www.mbeventsindia.com/"
"Picture Destination Pre Wedding Location in Delhi","098112 60804","Kundli Area 32 milestone, GT, Singhu Border, Road, Kundli, Karnal, Sonipat, Haryana 131028, India","DAY","Third Party","","Delhi","Delhi","4.6","1419","true","28.8756403","77.1151823","OPERATIONAL","https://www.picturedestination.com/"
"The Nandram (Wedding Venue Near Me)","099900 99069","House No.3, Uttam Nagar, Bindapur, New Delhi, Delhi, 110059, India","DAY","Third Party","","Delhi","Delhi","4.4","70","true","28.6157103","77.0686923","OPERATIONAL","https://thenandram.com/"
"Silver Grand (Wedding Banquets)","079034 50083","S 26, 2nd floor, Ajay Enclave, Subhash Nagar, Ajanta Cinema Complex, Meenakshi Garden, Ashok Nagar, New Delhi, Delhi, 110018, India","DAY","Third Party","","Delhi","Delhi","4.6","1123","true","28.638415","77.106963","OPERATIONAL","https://weddingbanquets.in/delhi/silver-grand-banquet-subhash-nagar"
"Wedding Bela","070606 41110","D-215, D Block, Sector 63, Noida, Uttar Pradesh 201309, India","DAY","Third Party","","Delhi","Delhi","4.9","46","true","28.628205","77.382255","OPERATIONAL","http://weddingbela.com/"
"The Wedding Dreams by varun Rathor","098712 11995","1/202/35, Sadar Bazar Rd, Piru Vihar, Sadar Bazaar, Delhi Cantonment, New Delhi, Delhi 110010, India","DAY","Third Party","","Delhi","Delhi","5","193","true","28.5920711","77.1207842","OPERATIONAL","http://theweddingdreams.net/"
"Wedding Crown","092113 30070","Supertech Capetown, Sector 74, Noida, Uttar Pradesh 201304, India","DAY","Third Party","","Delhi","Delhi","4.4","1200","true","28.5787494","77.38729670000001","OPERATIONAL","https://weddingcrown.in/"
"The Wedding Focus - Wedding Photographer in Delhi NCR","093106 55576","106, 9A/1, Vishnu Mandir Marg, Channa Market, Block 9A, WEA, Karol Bagh, New Delhi, Delhi, 110005, India","DAY","Third Party","","Delhi","Delhi","4.4","84","true","28.6452111","77.1841982","OPERATIONAL","https://www.theweddingfocus.com/"
"Jannat Valley (Wedding Venue)","098999 92608","Jannat Valley - Wedding venue, Manav Rachna Campus Rd, opposite MANAV RACHNA UNIVERSITY, Asola Wild Life Sanctuary, Sector 43, Faridabad, Haryana 121003, India","DAY","Third Party","","Delhi","Delhi","4.2","998","true","28.450452","77.2818648","OPERATIONAL","http://jannatvalley.com/"
"The Divine Wedding Farm","095407 56375","Sector 91, Gurugram, Haryana 122505, India","DAY","Third Party","","Delhi","Delhi","4.4","93","true","28.3954897","76.9185889","OPERATIONAL","https://www.instagram.com/the._.divineweddingfarm?igsh=MTVqOTNxdHh1NWxtZQ=="
"Wedding Saga India","093550 27974","7/19, Landmark BSES OFFICE, Masjid Rd, Jangpura, Jungpura Extension, New Delhi, Delhi 110014, India","DAY","Third Party","","Delhi","Delhi","4.8","101","true","28.5829251","77.24642899999999","OPERATIONAL","http://www.weddingsagaindia.com/"
"ShaadiWish","098127 17449","C-543,Basement, Block C, Defence Colony, New Delhi, Delhi 110024, India","DAY","Third Party","","Delhi","Delhi","4.6","78","true","28.567196","77.22988819999999","OPERATIONAL","https://shaadiwish.com/"
"Nirmal Lehenga House | Wedding Designer Outfits, Bridal Lehenga & Sherwani On Rent","082877 81901","D-12/96, Pocket D-12, Pocket 12, Sector 7, Rohini, New Delhi, Delhi, 110085, India","DAY","Third Party","","Delhi","Delhi","4.8","791","true","28.70974","77.1204182","OPERATIONAL",""
"V3 Events & Wedding","085060 00001","9, L-25, near by Privat Hospital, DLF Phase 2, Sector 25, Gurugram, Haryana 122002, India","DAY","Third Party","","Delhi","Delhi","4.6","54","true","28.4813043","77.0744527","OPERATIONAL","http://www.v3events.in/"
"Event wedding photography","099118 81668","2 - Shakti kiran building , first floor , Shakti Nagar chowk, 7, Block 2, Roop Nagar, Delhi, 110007, India","DAY","Third Party","","Delhi","Delhi","5","319","true","28.6828775","77.19772859999999","OPERATIONAL","https://eventweddingphotography.com/"
"The Imaging Town | Pre wedding Location In Delhi","073737 31746","Khera Kalan, Delhi, 110082, India","DAY","Third Party","","Delhi","Delhi","4.4","342","true","28.7735995","77.11185909999999","OPERATIONAL","http://www.theimagingtown.in/"
"Vivah Luxury Weddings","099992 78742","2nd Floor Block E, 3, Rani Jhansi Rd, Block E 4, Jhandewalan Extension, Jhandewalan, New Delhi, Delhi 110055, India","DAY","Third Party","","Delhi","Delhi","4.8","123","true","28.6455299","77.2042343","OPERATIONAL","http://www.vivahluxuryweddings.com/"
"Wedding Trends","0124 420 3527","G-312, Sushant Shopping Arcade, Sushant Lok Phase I, Kanahi, Gurugram, Haryana 122009, India","DAY","Third Party","","Delhi","Delhi","4.7","60","true","28.4608884","77.07914559999999","OPERATIONAL","https://weddingtrends.in/"
"The Wedding Eve","080764 44100","639A, B1 Rd, B2A Block, Block B 2B, Janakpuri, New Delhi, Delhi, 110058, India","DAY","Third Party","","Delhi","Delhi","4.5","75","true","28.6336759","77.0902469","OPERATIONAL","http://theweddingeve.com/"
"Mehak Wedding Banquet","087430 00092","Plot No. 43, Road No. 35,West Punjabi Bagh, 145, Main Rohtak Rd, opp. Metro Pillar No, West Punjabi Bagh, Punjabi Bagh, Delhi, 110026, India","DAY","Third Party","","Delhi","Delhi","3.9","1192","true","28.6751385","77.1274547","OPERATIONAL","http://www.suryagrand.com/"
"Diwas Wedding Planner","085839 88002","3, U-11 Rd, DLF Cyber City, DLF Phase 3, Sector 24, Gurugram, Haryana 122002, India","DAY","Third Party","","Delhi","Delhi","4.5","78","true","28.4939531","77.0944901","OPERATIONAL","http://www.diwas.in/"
"Set My Wedding","097735 53402","A square Mall, First floor, Office No. 05, Sector 73, Noida, Uttar Pradesh 201301, India","DAY","Third Party","","Delhi","Delhi","4.4","108","true","28.5919316","77.3816866","OPERATIONAL","https://www.setmywedding.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=10791380284075186295"
"Elite Weddings India","089794 06406","213, Varun Farm Gate, 2, Gaushala Rd, near South Asian University, Rajpur, Chhatarpur, New Delhi, Delhi 110068, India","DAY","Third Party","","Delhi","Delhi","5","57","true","28.4858374","77.1965278","OPERATIONAL","http://www.eliteweddingsindia.com/"
"Pragati wedding Cards","","F-2, Karawal Nagar Main Rd, near Aggarwal Sweets & Water Tank, Block B, Dayalpur, Tukhmirpur, Delhi, 110090, India","DAY","Third Party","","Delhi","Delhi","4.8","1035","true","28.7158911","77.264144","OPERATIONAL",""
"Wedding Lounge","092899 99910","E 22, 3rd floor South extension, 2, Main Market, New Delhi, Delhi 110049, India","DAY","Third Party","","Delhi","Delhi","4.8","153","true","28.5680486","77.2196022","OPERATIONAL","https://weddinglounge.in/"
"FNP Weddings","097113 01288","FNP Estate, Ashram Marg, Sultanpur Mandi Rd, Chhatarpur Farms, DLF Farms, New Delhi, Delhi 110030, India","DAY","Third Party","","Delhi","Delhi","4.3","134","true","28.4795743","77.162398","OPERATIONAL","https://www.fnpweddings.com/"
"Farm house wedding","","Pushpanjali Farms, Delhi, New Delhi, Delhi 110061, India","DAY","Third Party","","Delhi","Delhi","5","17","true","28.5418163","77.0741762","OPERATIONAL","http://www.arisevillage.com/"
"MI GARDENS BEST BANQUET & WEDDING VENUE in Vasundhara Ghaziabad","099110 03679","M949+G43, Sector 11, Vasundhara, Ghaziabad, Uttar Pradesh 201012, India","DAY","Third Party","","Delhi","Delhi","3.9","607","true","28.6557446","77.3677129","OPERATIONAL","https://letscompare.in/Hall/index.php"
"The Wedding Curator","098714 77022","first floor, Block H, H-2/1, Block F, Vikaspuri, New Delhi, Delhi, 110018, India","DAY","Third Party","","Delhi","Delhi","4.3","46","true","28.6451984","77.07925329999999","OPERATIONAL","http://twcwed.com/"
"Wedding Aashiyana Rent Outfit, Lehenga and Gown","098917 77729","C46, Block C, Lajpat Nagar II, Lajpat Nagar, New Delhi, Delhi 110024, India","DAY","Third Party","","Delhi","Delhi","4.8","416","true","28.5716289","77.2388014","OPERATIONAL","https://www.instagram.com/weddingaashiyanaofficial?igsh=MTAyaTlpOHdoZGk5NA%3D%3D&utm_source=qr"
"Kamal Studio Faridabad | Premium Wedding Photography","093133 06303","Shop No. 2B-1 Near 1-2 Chowk, Block B, New Industrial Twp 2, New Industrial Township, Faridabad, Haryana 121001, India","DAY","Third Party","","Delhi","Delhi","4.7","179","true","28.3809313","77.29679399999999","OPERATIONAL","http://www.kamalstudios.in/"
"The Wedding Lamha","099715 70201","690, Sector 39 Rd, Jharsa, Kilhore Patti, Jharsa Village, Sector 39, Gurugram, Haryana 122003, India","DAY","Third Party","","Delhi","Delhi","4.7","30","true","28.4412987","77.05289429999999","OPERATIONAL","http://www.theweddinglamha.com/"
"THE WEDDING SEARCH (Matrimony Services)","093106 15906","11th Floor, Spaze I-Tech Park, Unit No. 1122B, Badshahpur Sohna Rd, Sector 49, Gurugram, Haryana 122018, India","DAY","Third Party","","Delhi","Delhi","4.9","236","true","28.4127604","77.0438532","OPERATIONAL","https://www.theweddingsearch.com/"
"Best Wedding Planner in Gurugram- The Peacock Eventz","089505 43999","Islampur Village, Sector 38, Gurugram, Haryana 122018, India","DAY","Third Party","","Delhi","Delhi","4.6","19","true","28.4299499","77.0388033","OPERATIONAL","https://thepeacockeventz.in/"
"Wedding Colors","099993 08143","A101, above SBI Bank, Pocket 4, Pratap Nagar, Mayur Vihar, New Delhi, Delhi, 110091, India","DAY","Third Party","","Delhi","Delhi","4.8","121","true","28.6042482","77.2938298","OPERATIONAL","http://www.weddingcollors.in/"
"The Wedding Vogue","098103 63613","SF2, Khasra No-405, 2nd Floor, SR Estates, 120-121, Mehrauli-Gurgaon Rd, near Hanuman Mandir, opp. Metro Pillar No, Ghitorni, New Delhi, Delhi 110030, India","DAY","Third Party","","Delhi","Delhi","4.5","51","true","28.4924536","77.1451214","OPERATIONAL","http://www.theweddingvogue.in/"
"Shagun Farm by FNP Venues","078278 12345","Bandh Rd, Chhatarpur Farms, Radhey Mohan Drive, New Delhi, Delhi 110030, India","DAY","Third Party","","Delhi","Delhi","4.3","1212","true","28.4746995","77.166131","OPERATIONAL","https://www.fnpvenues.com/wedding-venues-chattarpur/shagun-farm/"
"Weddings by Roadhouse","078387 70678","house no 6, Shiva Enclave, Harsh Vihar, Pitampura, new delhi, Delhi, 110034, India","DAY","Third Party","","Delhi","Delhi","4.8","24","true","28.6959463","77.135027","OPERATIONAL",""
"The Wedding Square","","FARM, 9A, 8th Ave Bandh Rd, Jona Pur, Jaunapur, New Delhi, Delhi 110030, India","DAY","Third Party","","Delhi","Delhi","4.5","17","true","28.4697991","77.16152459999999","OPERATIONAL","http://www.theweddingsquare.com/"
"The Wedding Planet Banquet - Noida Extension","095600 85702","behind STELLAR JEEVAN, Sector 1, Aimnabad, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India","DAY","Third Party","","Delhi","Delhi","4.5","104","","28.567952","77.4455112","OPERATIONAL","https://www.theweddingplanet.com/"
"Manmarziyan Wedding Bells & Events","098115 48209","N-24 Lower Ground Floor, Savitri Nagar, Block M, Malviya Nagar, New Delhi, Delhi 110017, India","DAY","Third Party","","Delhi","Delhi","4.5","51","true","28.5377437","77.2173811","OPERATIONAL","http://www.manmarziyanweddingbells.com/"
"Velvet vows- sherwani lehenga on rent in delhi","097165 00005","double story, 2/1, Main Najafgarh Road, opp. Metro Pillar Number 532, near Tilak Nagar, Prem Nagar, Janakpuri, New Delhi, Delhi, 110058, India","DAY","Third Party","","Delhi","Delhi","4.6","197","true","28.6349245","77.0921961","OPERATIONAL",""
"Wedding photographers","097178 47275","Shakti Khand 4, Shakti Khand III, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India","DAY","Third Party","","Delhi","Delhi","4.9","255","true","28.6507728","77.36956459999999","OPERATIONAL","https://www.instagram.com/cinemateproductions?igsh=MTZkbmRpbWtxZXhkcA==&utm_source=qr"
"Wedding Decor by Gaur™ | Luxury Wedding Decorator & Planner In Delhi NCR","098111 36721","Shop no 49, Lodhi Rd, Meharchand Market, Lodi Colony, New Delhi, Delhi 110003, India","DAY","Third Party","","Delhi","Delhi","4.9","175","true","28.5862185","77.2264665","OPERATIONAL","https://gaurweddingdecor.in/"
"Wedding Tales Matrimony - High End Matrimonial Services | Global Matchmaker","090414 40044","JMD Regent Arcade, Unit 102 FF, Sector 28, DLF Phase 1, Gurugram, Haryana 122002, India","DAY","Third Party","","Delhi","Delhi","4.7","713","true","28.4796824","77.0886493","OPERATIONAL","https://weddingtalesmatrimony.com/?utm_source=gmb&utm_medium=organic&utm_content=GoogleListing&utm_campaign=GoogleListing"
"Wedding Point Photography","099680 28003","VISHAL MARKET, POLICE STATION, A-20, near RAJOURI GARDEN, Block EA, Vishal Enclave, Tagore Garden Extension, New Delhi, Delhi, 110027, India","DAY","Third Party","","Delhi","Delhi","5","95","true","28.6496033","77.1169927","OPERATIONAL","https://www.instagram.com/weddingpointphotography/"
"The Prime Wedding","098107 62690","E3, Block A, Sitapuri Part 2, Sitapuri, New Delhi, Delhi, 110059, India","DAY","Third Party","","Delhi","Delhi","4.8","26","true","28.6100501","77.0811621","OPERATIONAL","http://www.theprimewedding.com/"
"Dream Weddings","099114 47678","WZ-61A, Shaheed Chandra Marg, WZ Block, Uttam Nagar, New Delhi, Delhi, 110059, India","DAY","Third Party","","Delhi","Delhi","5","12","true","28.6244774","77.059851","OPERATIONAL","http://dream-weddings.in/"
"Jwala Studio - Wedding | Pre-Wedding | Events","089089 00043","18/481, DDA Flats, Doctor Ambedkar Nagar, Madangir, New Delhi, Delhi 110062, India","DAY","Third Party","","Delhi","Delhi","4.1","117","true","28.5211016","77.2289231","OPERATIONAL","http://www.jwalastudio.in/"
"LALJEES A COMPLETE WEDDING STORE - lehenga / groom safa / wedding pagri / sherwani on rent in delhi","095557 71155","J-33A, behind aggarwal sweets, Block J, PART 2, Lajpat Nagar, New Delhi, Delhi 110024, India","DAY","Third Party","","Delhi","Delhi","4.4","1112","true","28.5690783","77.2434401","OPERATIONAL",""
"The Wedding Dreams Studio","099535 48841","D-14/114, Shop, No. 5, Shiva Rd, Pocket 14, Sector 8, Rohini, Delhi, 110085, India","DAY","Third Party","","Delhi","Delhi","4.9","46","true","28.7055502","77.12324629999999","OPERATIONAL","http://www.instagram.com/theweddingdreamsstudio"
"Pine Events.wedding planner in noida","099535 38999","G-0 Dharmpail place, near by Vinayak Hospital, D Block, Pocket D, Sector 27, Noida, Uttar Pradesh 201301, India","DAY","Third Party","","Delhi","Delhi","4.8","50","true","28.5749088","77.328296","OPERATIONAL","https://pinewoodevents.in/"
