Name,Mobile,address,Shift,type,Joined,City,state,rating,reviews,open_now,lat,lng,status,website
"AZALEA Banquet","088603 43454","C 162, Naraina Industrial Area, Phase-I, Industrial Area Phase I, Block C, Naraina Industrial Area Phase 1, Naraina, New Delhi, Delhi 110028, India","DAY","Third Party","","Delhi","Delhi","4.1","1547","true","28.6296988","77.1372232","OPERATIONAL","https://azaleabanquet.in/"
"KANGNA GRAND BANQUET","099991 04365","West Metro Station, opposite metro pillar 695, near Uttam Nagar, Block E, Param Puri, Uttam Nagar, New Delhi, Delhi, 110059, India","DAY","Third Party","","Delhi","Delhi","4.4","1702","true","28.6211393","77.0540658","OPERATIONAL",""
"Mithila Banquet- Vegetarian banquet halls in Noida| Best Banquet halls in Noida","099710 89194","Plot# 565, next to RK Public School, Shramik Kunj, Sector 66, Noida, Uttar Pradesh 201309, India","DAY","Third Party","","Delhi","Delhi","4.3","148","true","28.6094728","77.37682219999999","OPERATIONAL","http://www.thenoidahotel.com/"
"RAMA BANQUET HALL","098595 91122","Ground Floor, Metro Station, opposite gate no-3, Block E, Sector 52, Noida, Uttar Pradesh 201303, India","DAY","Third Party","","Delhi","Delhi","4.5","2787","true","28.5865603","77.3726626","OPERATIONAL","https://ramabanquets.com/"
"Anandee Homes Banquet","088105 11604","C-4, opp. Kendriya Vihar, Hoshiarpur Village, Sector 51, Noida, Uttar Pradesh 201303, India","DAY","Third Party","","Delhi","Delhi","4.4","1228","true","28.5794183","77.3661994","OPERATIONAL","http://anandeebanquet.in/"
"KNOTS FOREVER BANQUET","011 4287 0219","B-29, Industrial Area, GT Karnal Road Industrial Area, Ashok Vihar, Delhi, 110033, India","DAY","Third Party","","Delhi","Delhi","4.2","1711","true","28.6954196","77.18418369999999","OPERATIONAL",""
"Golden Gate Banquet Hall","097118 73337","B-18, Satguru Ram Singh Rd, Block B, Mayapuri Industrial Area Phase I, Mayapuri, Delhi, 110064, India","DAY","Third Party","","Delhi","Delhi","4.1","2163","true","28.6294226","77.1238518","OPERATIONAL","http://www.goldengatebanquets.com/"
"Golden Dreams Banquets","096433 32979","Ajit Tower, 59/18, Guru Ravidas Marg, Ami Chand Khand, Block AC, Block K, Kalkaji, New Delhi, Delhi 110019, India","DAY","Third Party","","Delhi","Delhi","4.2","903","true","28.5404366","77.262155","OPERATIONAL","https://goldendreamsbanquets.com/"
"Kanak Banquets","095827 87830","Metro Pillar Number 303, A-38, NH-19, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044, India","DAY","Third Party","","Delhi","Delhi","4.2","973","true","28.5217021","77.2934329","OPERATIONAL",""
"Zion Banquet","074289 18881","Plot No 9A, Najafgarh Rd, near Haldiram, Moti Nagar, Karampura Industrial Area, Moti Nagar, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4.2","1913","true","28.6621299","77.15174139999999","OPERATIONAL",""
"J. S. Garden Banquet By Khanak","077038 08900","A36, Block B, Sector 132, Noida, Uttar Pradesh 201304, India","DAY","Third Party","","Delhi","Delhi","4.6","1408","true","28.5108938","77.37568739999999","OPERATIONAL",""
"KTG Banquet Hall","099900 26873","1st Floor, Plot no. 2, opp. LIC Building, C Block, Phase 2, Industrial Area, Sector 62A, Noida, Uttar Pradesh 201020, India","DAY","Third Party","","Delhi","Delhi","4.9","207","true","28.6131572","77.35476969999999","OPERATIONAL",""
"The Florence Banquet Hall | Bella Vista - Club Venue in Delhi","098994 51552","26 shivaji Marg, Najafgarh Rd, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4.4","1144","true","28.6633887","77.1563001","OPERATIONAL","https://www.instagram.com/theflorencebanquet/"
"Golden Rose Banquet's - Group Gurmeet","098716 37873","Office 71, Aditya Mega Mall, near Karkardooma Road, Vishwas Nagar Extension, Vishwas Nagar, Shahdara, Delhi, 110032, India","DAY","Third Party","","Delhi","Delhi","4.6","3420","true","28.6559747","77.3013154","OPERATIONAL",""
"god grace - Rohini","088825 00400","292, Sir Chotu Ram Marg, Sector 3, Sector 3G, Rohini, Delhi, 110085, India","DAY","Third Party","","Delhi","Delhi","4.4","3774","true","28.7067823","77.1055564","OPERATIONAL",""
"S L House","098719 31440","176, Maharishi Dayanand Marg, Opposite Panchasheela Park, Block S, Jahanpanah Monument, Malviya Nagar, New Delhi, Delhi 110017, India","DAY","Third Party","","Delhi","Delhi","4.1","2064","true","28.5409593","77.2105887","OPERATIONAL",""
"Sawan Banquets- Banquet Hall in Moti Nagar","098214 91705","54-A/1, Rama Rd, near Moti Nagar, Block B, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4","1162","true","28.6616076","77.1550212","OPERATIONAL","https://sawanbanquets.com/?utm_source=Google&utm_medium=GMB&utm_campaign=organic"
"La Maurya Banquet","093554 44750","42, GT Karnal Rd, opposite Metro Pillar Number 123, Block A, Rajasthan Udyog Nagar, Jahangirpuri, New Delhi, Delhi, 110033, India","DAY","Third Party","","Delhi","Delhi","4.3","1090","true","28.724134","77.16355899999999","OPERATIONAL",""
"Grand Milan Banquet Hall","098111 74040","Dr Burman Rd, Ram Nagar, Kaushambi, Ghaziabad, Uttar Pradesh 201010, India","DAY","Third Party","","Delhi","Delhi","4.2","1855","true","28.6450025","77.3264734","OPERATIONAL","http://www.grandmilanbanquets.com/"
"The City Light Banquet Hall in Greater Noida Extension","095600 85061","Greater Noida West, behind STELLAR JEEVAN, near Yatharth Hospital, Sector-1, Society, Bisrakh Jalalpur, Greater Noida, Bisrakh Jalalpur, Uttar Pradesh 201318, India","DAY","Third Party","","Delhi","Delhi","4.4","326","true","28.5678186","77.4457585","OPERATIONAL","http://thecitylight.in/"
"Wow Palace Banquet | Best Banquet in indirapuram Ghaziabad","072790 08900","C-6, Shaheed Captain Manoj Pandey Marg, Shakti Khand 4, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India","DAY","Third Party","","Delhi","Delhi","4.1","498","true","28.647635","77.378784","OPERATIONAL",""
"GOLDEN ROYALE BANQUET HALL","011 4556 3908","27, Shivaji Marg, near Moti Nagar Chowk, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4.2","3283","true","28.6633451","77.1554835","OPERATIONAL",""
"3G Celebration Banquet","099112 00451","D-mall, near peepal chowk, Niti Khand 3, Shakti Khand 2, Indirapuram, Ghaziabad, Uttar Pradesh 201014, India","DAY","Third Party","","Delhi","Delhi","4.2","855","true","28.6457525","77.3750556","OPERATIONAL",""
"Grand Imperia Banquet","073034 22004","33/33 A, Rama Rd, Block C, Najafgarh Road Industrial Area, New Delhi, Delhi, 110015, India","DAY","Third Party","","Delhi","Delhi","4.2","3383","true","28.660262","77.15167","OPERATIONAL",""
"L'Elegant Royal Banquet - Best Wedding Venue in Kalindi Kunj","097176 52709","Block H, Kalindi Kunj, New Delhi, Delhi 110076, India","DAY","Third Party","","Delhi","Delhi","4.2","767","true","28.5447195","77.30948529999999","OPERATIONAL","https://www.leelegant.com/"
"Blessings The Banquet","099996 41207","Plot No 9 Pitampura Opposite Apeejay School New, Adjoining Ramada Hotel, M4Rc+F23, Road Number 42, Division, Sainik Vihar, Pitampura, New Delhi, Delhi, 110034, India","DAY","Third Party","","Delhi","Delhi","4.1","279","true","28.6911875","77.1200625","OPERATIONAL","https://nishatgarden.com/"
"Tarang Banquet","093190 35435","Road No 56, Main Road, 136, Ghazipur Village, Ghazipur, New Delhi, Delhi, 110092, India","DAY","Third Party","","Delhi","Delhi","4","1634","true","28.6335089","77.31574599999999","OPERATIONAL","https://www.tarangbanquet.com/"
"Banquet Surya Grand Dwarka-best banquet and party lawn dwarka nearby-best banquet hall in west delhi","","Dattaram marg, near, Dwarka Flyover, Sector 7 Dwarka, Palam, New Delhi, Delhi, 110045, India","DAY","Third Party","","Delhi","Delhi","4.2","3436","true","28.5924107","77.07522639999999","OPERATIONAL","http://www.suryagrand.com/www.suryabanquets.com"
"Trinity Banquet by The Grand Iris","098182 49200","MC9X+JC7, Block C, Sector 18, Kavi Nagar, Ghaziabad, Uttar Pradesh 201002, India","DAY","Third Party","","Delhi","Delhi","4.3","273","true","28.6690154","77.4485249","OPERATIONAL",""
"Platinum Crown - Banquet Hall in Raj Nagar Extension Ghaziabad","099905 03366","Platinum Crown, Meerut Bypass Rd, near Shalvika Farm House, Ghaziabad, Uttar Pradesh 201003, India","DAY","Third Party","","Delhi","Delhi","4.5","145","true","28.7018483","77.3999638","OPERATIONAL","https://www.platinumcrown.in/"
"Grand Aashirwad Banquet","","Grand Aashirwad Banquet Hall, Wazirabad Rd, opposite Shalimar Garden, Ashok Vatika, Sahibabad, Ghaziabad, Uttar Pradesh 201006, India","DAY","Third Party","","Delhi","Delhi","4.2","641","true","28.6940087","77.3432243","OPERATIONAL","https://aashirwadbanquethall.in/"
"Aashirwad Banquet","098994 72848","486/ 2, Jheel Kuranja, Jheel Khurenja, Geeta Colony, Delhi, 110051, India","DAY","Third Party","","Delhi","Delhi","3.8","1366","true","28.6563485","77.2733588","OPERATIONAL",""
"The Great Palace Banquet","093304 93307","Great Palace Banquet Hall, Seelampur Metro Sta Rd, New Seelampur, Seelampur, Shahdara, Delhi, 110053, India","DAY","Third Party","","Delhi","Delhi","4.5","231","true","28.670335","77.2671594","OPERATIONAL","https://www.thegreatpalacebanquethall.in/"
"RAJKAMAL BANQUETS","097114 42717","2nd Floor, Aggarwal Fun City Mall, Vishwas Nagar Extension, Karkardooma, Shahdara, Delhi, 110032, India","DAY","Third Party","","Delhi","Delhi","4.1","970","true","28.6606559","77.2979496","OPERATIONAL",""
"Priyankas Party Hall","098101 40202","Vandana International School, behind Dwarka Court, सेक्टर 10 द्वारका, द्वारका, नई दिल्ली, दिल्ली, 110075, India","DAY","Third Party","","Delhi","Delhi","4.1","1488","true","28.5826244","77.05937829999999","OPERATIONAL",""
"Vedas Banquet","098110 34354","3417, Tigaon Rd, Tirkha Colony, Sector 2, Faridabad, Haryana 121004, India","DAY","Third Party","","Delhi","Delhi","4.4","65","true","28.3469512","77.3368701","OPERATIONAL",""
"Amaatra Banquet Gaur City","095606 60220","Gaur High Streat, 14 Avenue, Greater Noida W Rd, Gaur City 2, Greater Noida, Chipyana Khurd Urf Tigri, Uttar Pradesh 201009, India","DAY","Third Party","","Delhi","Delhi","4","506","true","28.6182054","77.41848929999999","OPERATIONAL",""
"BB grand restaurant & banquet hall","095600 85142","opposite metro pillar no700, Block E, Param Puri, Uttam Nagar, Delhi, 110059, India","DAY","Third Party","","Delhi","Delhi","4.1","204","true","28.6211103","77.053058","OPERATIONAL",""
"Grand Utsav Banquet Rani bagh","098111 37441","Grand Utsav, Multani Mohalla, Rani Bagh, Pitampura, Delhi, 110034, India","DAY","Third Party","","Delhi","Delhi","4.1","553","true","28.6872931","77.1334638","OPERATIONAL",""
